Algorithm,Parcel Priority,Parcel Order  ,Truck Order   ,Unused Trucks,Unused Space,Avg dist,Avg fullness,Unsched Parcels
random   ,NA             ,NA            ,NA            ,1            ,100         ,261.00  ,44.44       ,1
greedy   ,volume         ,non-decreasing,non-decreasing,0            ,0           ,192.67  ,100.00      ,0
greedy   ,volume         ,non-decreasing,non-increasing,2            ,0           ,389.00  ,33.33       ,1
greedy   ,volume         ,non-increasing,non-decreasing,0            ,0           ,192.67  ,100.00      ,0
greedy   ,volume         ,non-increasing,non-increasing,0            ,0           ,192.67  ,100.00      ,0
greedy   ,destination    ,non-decreasing,non-decreasing,0            ,0           ,192.67  ,100.00      ,0
greedy   ,destination    ,non-decreasing,non-increasing,1            ,100         ,261.00  ,38.89       ,1
greedy   ,destination    ,non-increasing,non-decreasing,0            ,0           ,192.67  ,100.00      ,0
greedy   ,destination    ,non-increasing,non-increasing,1            ,50          ,220.00  ,50.00       ,1
